# # masses,tags,x,y,z,vx,vy,vz,ax,ay,az
1.000000000000000056e-01,3.600000000000000000e+01,7.825453379294903256e-01,-5.545239995394461996e-01,-1.657168795724725641e+00,9.299697386320856518e-01,-2.083363215915996491e+00,-1.955825508740330898e-01,-5.171685725788028876e+00,-2.462700240854982070e+00,8.775056238172966872e+00
1.000000000000000056e-01,3.700000000000000000e+01,7.881921024042000123e-01,-9.440260400875470914e-01,5.464243549933806010e-01,-9.789701529444098105e-01,-5.406350092498320992e-01,6.561659939137871878e-02,-8.926141932242418475e-01,1.914832294154370507e+00,-5.421632375321402408e-01
1.000000000000000056e-01,3.800000000000000000e+01,-7.260865958405270382e-01,-3.337800721141729321e-01,-1.710364412885317487e+00,1.363830061705292307e+00,1.020203812246159636e+00,-8.396064559623259704e-01,6.227728506820999765e-01,4.639545121080199674e-01,1.169193273340029648e+00
1.000000000000000056e-01,3.900000000000000000e+01,-1.444513198921870245e+00,-1.635147780231191117e+00,3.282886502573865717e-01,1.032349201752369439e+00,-7.195949078527738019e-01,1.542961468875270858e+00,7.416007586838734289e-01,9.178874231022672303e-01,-1.078287570028270068e-02
1.000000000000000056e-01,4.000000000000000000e+01,-6.696593638924506209e-01,1.052119568439271680e+00,-3.104154982412427266e+00,1.519452089516799553e+00,3.424614372499939496e-01,-1.455813860171673690e+00,1.675797760957794813e-01,-2.354729522554348808e-01,7.150729650363896184e-01
1.000000000000000056e-01,4.100000000000000000e+01,9.123132936715158126e-01,-7.792176469235546632e-01,1.417906005207248299e+00,-1.111325281320192593e+00,1.023194826753379694e+00,5.573105871197454597e-01,-1.135893172488642966e+00,1.236880436662222138e+00,-1.419073230695376830e+00
1.000000000000000056e-01,4.200000000000000000e+01,-1.021933480942564865e+00,1.585515914127330894e-01,5.881950385919136881e-01,-1.379299308645848932e+00,-1.277714267856319585e+00,-8.742936598810949755e-01,1.977652860104664345e+00,-5.898331376888794608e-01,-5.802894833391850637e-01
1.000000000000000056e-01,4.300000000000000000e+01,-9.564192672444680188e-01,-2.272946563412524545e-01,-9.452997825016743461e-01,6.361606963570138884e-01,2.802386233494159051e-01,-1.635617057931900986e-01,7.299742628981785719e-01,4.285889797874977702e-01,6.437598585999492196e-01
1.000000000000000056e-01,4.400000000000000000e+01,3.484898391602460621e-01,2.404467047416600778e+00,4.270770807558817439e-01,3.626004466318691888e-01,-1.169299063890942292e-01,4.611061566178864535e-02,-6.509946592957942257e-02,-1.220710585235915246e+00,-8.918424574735046850e-02
1.000000000000000056e-01,4.500000000000000000e+01,1.291556955448749378e-01,-3.389064610094522090e-01,5.085742129701305014e-01,1.469763927252684566e+00,-1.595401467927607619e+00,2.848142710798901689e+00,1.226123805601583988e-01,2.985561243996068370e+00,-6.780953972506545968e-01
